"Gene Name","Protein IDs","H_vs_L_log2 fold change","H_vs_L_p.val","H_vs_L_p.adj","significant","H_vs_L_significant","imputed","num_NAs","Protein.names"
"SCAMP1","O15126",-0.0848,0.703,0.742,FALSE,FALSE,FALSE,0,"Secretory carrier-associated membrane protein 1"
"SCAMP2","H3BV04",-0.68,0.00371,0.0114,FALSE,FALSE,FALSE,0,"Secretory carrier-associated membrane protein 2"
"SCAMP3","O14828-2",-0.65,0.124,0.167,FALSE,FALSE,FALSE,0,"Secretory carrier-associated membrane protein 3"
"SCARB1","Q8WTV0-4",-0.377,0.0594,0.0913,FALSE,FALSE,FALSE,0,"Scavenger receptor class B member 1"
"SCML2","B4DZR9",-0.705,0.000673,0.00376,FALSE,FALSE,FALSE,0,"Sex comb on midleg-like protein 2"
"SCP2","E1B6W5",-0.633,0.00312,0.0102,FALSE,FALSE,FALSE,0,"Non-specific lipid-transfer protein"
"SCRIB","Q14160",0.134,0.308,0.364,FALSE,FALSE,FALSE,0,"Protein scribble homolog"
"SCRN1","Q12765",-2.29,0.0614,0.0938,FALSE,FALSE,TRUE,2,"Secernin-1"
"SCYL1","Q96KG9-5",-0.964,0.0253,0.0466,FALSE,FALSE,FALSE,0,"N-terminal kinase-like protein"
"SDAD1","Q9NVU7",0.562,0.164,0.213,FALSE,FALSE,FALSE,0,"Protein SDA1 homolog"
"SDCBP","O00560-3",-0.0861,0.844,0.869,FALSE,FALSE,TRUE,1,"Syntenin-1"
"SDF2L1","Q9HCN8",-0.437,0.384,0.44,FALSE,FALSE,FALSE,0,"Stromal cell-derived factor 2-like protein 1"
"SDHA","P31040",-0.788,0.000503,0.00313,FALSE,FALSE,FALSE,0,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
"sdhB","P07014",0.944,0.000176,0.00172,FALSE,FALSE,FALSE,0,"Succinate dehydrogenase iron-sulfur subunit"
"SDHB","P21912",-1.62,0.195,0.246,FALSE,FALSE,TRUE,1,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial"
"SEC11A","H0YNX5",-1.61,0.26,0.315,FALSE,FALSE,TRUE,3,"Signal peptidase complex catalytic subunit SEC11A"
"SEC16A","O15027-2",-0.324,0.0811,0.118,FALSE,FALSE,FALSE,0,"Protein transport protein Sec16A"
"SEC22B","O75396",-0.412,0.0661,0.0996,FALSE,FALSE,FALSE,0,"Vesicle-trafficking protein SEC22b"
"SEC23A","F5H365",-0.7,0.0174,0.035,FALSE,FALSE,FALSE,0,"Protein transport protein Sec23A"
"SEC23B","Q15437",0.957,0.122,0.165,FALSE,FALSE,FALSE,0,"Protein transport protein Sec23B"
"SEC23IP","F5H0L8",0.58,0.0499,0.0792,FALSE,FALSE,FALSE,0,"SEC23-interacting protein"
"SEC24A","O95486",-0.117,0.629,0.674,FALSE,FALSE,FALSE,0,"Protein transport protein Sec24A"
"SEC24B","O95487-2",0.408,0.0477,0.0765,FALSE,FALSE,FALSE,0,"Protein transport protein Sec24B"
"SEC24C","E7EP00",-0.373,0.109,0.15,FALSE,FALSE,FALSE,0,"Protein transport protein Sec24C"
"SEC31A","O94979-6",-0.459,0.0105,0.024,FALSE,FALSE,FALSE,0,"Protein transport protein Sec31A"
"SEC61B","P60468",-0.00705,0.985,0.988,FALSE,FALSE,FALSE,0,"Protein transport protein Sec61 subunit beta"
"SEC61G","P60059",-1.99,0.388,0.443,FALSE,FALSE,TRUE,3,"Protein transport protein Sec61 subunit gamma"
"SEC63","Q9UGP8",-0.589,0.00126,0.00556,FALSE,FALSE,FALSE,0,"Translocation protein SEC63 homolog"
"secE","P0AG96",1.89,0.206,0.258,FALSE,FALSE,TRUE,3,"Preprotein translocase subunit SecE"
"secF","P0AG93",1.45,0.164,0.213,FALSE,FALSE,FALSE,0,"Protein translocase subunit SecF"
"SEH1L","Q96EE3",-0.672,0.0644,0.0975,FALSE,FALSE,FALSE,0,"Nucleoporin SEH1"
"SEL1L","Q9UBV2",-0.456,0.697,0.737,FALSE,FALSE,TRUE,1,"Protein sel-1 homolog 1"
"SELENBP1","Q13228-2",-0.736,0.292,0.347,FALSE,FALSE,TRUE,4,"Selenium-binding protein 1"
"SELH","Q8IZQ5",-0.83,0.0734,0.108,FALSE,FALSE,FALSE,0,"Selenoprotein H"
"SENP3","Q9H4L4",-0.406,0.0155,0.0321,FALSE,FALSE,FALSE,0,"Sentrin-specific protease 3"
"SEPHS1","P49903",-0.792,0.027,0.0491,FALSE,FALSE,FALSE,0,"Selenide, water dikinase 1"
"SEPT10","B7Z371",-0.181,0.562,0.611,FALSE,FALSE,TRUE,2,"Septin-10"
"SEPT2","Q15019",-0.675,0.00493,0.0139,FALSE,FALSE,FALSE,0,"Septin-2"
"SEPT7","E7ES33",-0.209,0.43,0.486,FALSE,FALSE,FALSE,0,"Septin-7"
"SEPT9","Q9UHD8-3",-0.439,0.103,0.144,FALSE,FALSE,FALSE,0,"Septin-9"
"serB","P0AGB0",0.982,0.0325,0.0567,FALSE,FALSE,FALSE,0,"Phosphoserine phosphatase"
"SERBP1","Q8NC51-3",-0.721,0.00294,0.00977,FALSE,FALSE,FALSE,0,"Plasminogen activator inhibitor 1 RNA-binding protein"
"SERPINB1","B4E3A8",-0.6,0.00162,0.00651,FALSE,FALSE,FALSE,0,"Leukocyte elastase inhibitor"
"SERPINB12","Q96P63",-0.818,0.296,0.351,FALSE,FALSE,TRUE,3,"Serpin B12"
"SERPINB3","P29508-2",-0.576,0.118,0.16,FALSE,FALSE,FALSE,0,"Serpin B3"
"SERPINB5","P36952",-0.606,0.00532,0.0147,FALSE,FALSE,FALSE,0,"Serpin B5"
"SERPINB6","P35237",-0.293,0.071,0.105,FALSE,FALSE,FALSE,0,"Serpin B6"
"SERPINH1","P50454",-0.462,0.0055,0.0151,FALSE,FALSE,FALSE,0,"Serpin H1"
"SET","Q01105",-0.532,0.0098,0.0228,FALSE,FALSE,FALSE,0,"Protein SET"
"SETD7","Q8WTS6",0.624,0.131,0.175,FALSE,FALSE,FALSE,0,"Histone-lysine N-methyltransferase SETD7"
"SF1","H7C0N4",-0.257,0.162,0.21,FALSE,FALSE,FALSE,0,""
"SF1.1","Q15637-6",-0.547,0.00348,0.0109,FALSE,FALSE,FALSE,0,"Splicing factor 1"
"SF3A1","Q15459",-0.579,0.00818,0.02,FALSE,FALSE,FALSE,0,"Splicing factor 3A subunit 1"
"SF3A2","Q15428",-0.67,0.00271,0.00926,FALSE,FALSE,FALSE,0,"Splicing factor 3A subunit 2"
"SF3A3","Q12874",-0.425,0.00858,0.0207,FALSE,FALSE,FALSE,0,"Splicing factor 3A subunit 3"
"SF3B1","O75533",-0.541,0.00569,0.0154,FALSE,FALSE,FALSE,0,"Splicing factor 3B subunit 1"
"SF3B14","Q9Y3B4",-0.707,0.0022,0.008,FALSE,FALSE,FALSE,0,"Pre-mRNA branch site protein p14"
"SF3B2","Q13435",-0.501,0.0111,0.025,FALSE,FALSE,FALSE,0,"Splicing factor 3B subunit 2"
"SF3B3","Q15393",-0.506,0.004,0.0119,FALSE,FALSE,FALSE,0,"Splicing factor 3B subunit 3"
"SF3B4","Q15427",-0.138,0.549,0.599,FALSE,FALSE,FALSE,0,"Splicing factor 3B subunit 4"
"SF3B5","Q9BWJ5",-0.479,0.13,0.174,FALSE,FALSE,FALSE,0,"Splicing factor 3B subunit 5"
"SFN","P31947",-0.809,0.00218,0.008,FALSE,FALSE,FALSE,0,"14-3-3 protein sigma"
"SFPQ","P23246",-0.54,0.00753,0.0188,FALSE,FALSE,FALSE,0,"Splicing factor, proline- and glutamine-rich"
"SFRS11","Q5T760",-0.676,0.00102,0.00485,FALSE,FALSE,FALSE,0,"Serine/arginine-rich splicing factor 11"
"SFSWAP","Q12872",0.156,0.572,0.621,FALSE,FALSE,FALSE,0,"Splicing factor, suppressor of white-apricot homolog"
"sgcX","P39366",0.804,0.19,0.241,FALSE,FALSE,TRUE,1,"Putative aminopeptidase sgcX"
"SGPL1","O95470",-0.119,0.62,0.666,FALSE,FALSE,FALSE,0,"Sphingosine-1-phosphate lyase 1"
"SGTA","O43765",-0.508,0.0395,0.0659,FALSE,FALSE,FALSE,0,"Small glutamine-rich tetratricopeptide repeat-containing protein alpha"
"SH3BGRL","O75368",-0.593,0.126,0.169,FALSE,FALSE,FALSE,0,"SH3 domain-binding glutamic acid-rich-like protein"
"SH3GL1","Q99961",-0.364,0.0864,0.124,FALSE,FALSE,FALSE,0,"Endophilin-A2"
"SH3GLB1","B4E182",0.799,0.377,0.433,FALSE,FALSE,FALSE,0,"Endophilin-B1"
"SH3GLB2","B7ZC39",-0.629,0.0821,0.119,FALSE,FALSE,FALSE,0,"Endophilin-B2"
"SH3PXD2B","A1X283",1.11,0.0325,0.0566,FALSE,FALSE,TRUE,4,"SH3 and PX domain-containing protein 2B"
"SHC1","P29353-2",0.62,0.197,0.248,FALSE,FALSE,FALSE,0,"SHC-transforming protein 1"
"SHCBP1","Q8NEM2",-1,0.0383,0.0644,FALSE,FALSE,TRUE,1,"SHC SH2 domain-binding protein 1"
"SHKBP1","Q8TBC3",-0.316,0.619,0.665,FALSE,FALSE,FALSE,0,"SH3KBP1-binding protein 1"
"SHMT1","P34896-2",-0.757,0.0506,0.0802,FALSE,FALSE,FALSE,0,"Serine hydroxymethyltransferase;Serine hydroxymethyltransferase, cytosolic"
"SHMT2","P34897-3",-0.422,0.0366,0.0622,FALSE,FALSE,FALSE,0,"Serine hydroxymethyltransferase, mitochondrial;Serine hydroxymethyltransferase"
"SHOC2","Q9UQ13-2",-0.41,0.0761,0.112,FALSE,FALSE,FALSE,0,"Leucine-rich repeat protein SHOC-2"
"SHPRH","Q149N8-4",-0.319,0.521,0.572,FALSE,FALSE,FALSE,0,"E3 ubiquitin-protein ligase SHPRH"
"SIGMAR1","Q99720",-0.957,0.0142,0.0301,FALSE,FALSE,FALSE,0,"Sigma non-opioid intracellular receptor 1"
"SIN3A","Q96ST3",-0.539,0.0109,0.0246,FALSE,FALSE,FALSE,0,"Paired amphipathic helix protein Sin3a"
"SIPA1","F6RY50",0.206,0.541,0.592,FALSE,FALSE,TRUE,2,"Signal-induced proliferation-associated protein 1"
"SIRT5","Q9NXA8-3",-0.648,0.0634,0.0962,FALSE,FALSE,FALSE,0,"NAD-dependent protein deacylase sirtuin-5, mitochondrial"
"SIRT6","B4DDV3",-0.471,0.616,0.663,FALSE,FALSE,TRUE,3,"NAD-dependent protein deacetylase sirtuin-6"
"SIRT7","I3L1C9",0.0217,0.89,0.907,FALSE,FALSE,FALSE,0,"NAD-dependent protein deacetylase sirtuin-7"
"SIX4","Q9UIU6",0.444,0.108,0.149,FALSE,FALSE,FALSE,0,"Homeobox protein SIX4"
"SKIV2L","F8VS23",0.343,0.315,0.371,FALSE,FALSE,FALSE,0,"Helicase SKI2W"
"SKIV2L2","P42285",-0.419,0.0161,0.033,FALSE,FALSE,FALSE,0,"Superkiller viralicidic activity 2-like 2"
"skp","P0AEU7",0.586,0.00294,0.00977,FALSE,FALSE,FALSE,0,"Chaperone protein skp"
"SLAIN2","Q9P270",-0.507,0.024,0.0447,FALSE,FALSE,FALSE,0,"SLAIN motif-containing protein 2"
"SLC16A1","P53985",-0.406,0.16,0.209,FALSE,FALSE,FALSE,0,"Monocarboxylate transporter 1"
"SLC16A3","O15427",-0.463,0.101,0.141,FALSE,FALSE,FALSE,0,"Monocarboxylate transporter 4"
"SLC1A5","Q15758",-0.608,0.00243,0.00858,FALSE,FALSE,FALSE,0,"Neutral amino acid transporter B(0)"
"SLC25A1","P53007",0.641,0.405,0.46,FALSE,FALSE,TRUE,4,"Tricarboxylate transport protein, mitochondrial"
"SLC25A10","B4DLN1",-0.405,0.0472,0.0759,FALSE,FALSE,FALSE,0,"39S ribosomal protein L12, mitochondrial"
"SLC25A11","F5GY65",-0.478,0.422,0.478,FALSE,FALSE,TRUE,1,"Mitochondrial 2-oxoglutarate/malate carrier protein"
"SLC25A17","B0QYW5",-0.63,0.0513,0.0809,FALSE,FALSE,FALSE,0,"Peroxisomal membrane protein PMP34"
"SLC25A3","Q00325-2",-0.271,0.0422,0.0693,FALSE,FALSE,FALSE,0,"Phosphate carrier protein, mitochondrial"
"SLC25A5","P05141",-0.531,0.00314,0.0102,FALSE,FALSE,FALSE,0,"ADP/ATP translocase 2"
"SLC27A2","O14975",-0.904,0.00162,0.0065,FALSE,FALSE,FALSE,0,"Very long-chain acyl-CoA synthetase"
"SLC27A4","Q6P1M0",-0.657,0.0639,0.0969,FALSE,FALSE,FALSE,0,"Long-chain fatty acid transport protein 4"
"SLC30A1","Q9Y6M5",-0.799,0.285,0.34,FALSE,FALSE,FALSE,0,"Zinc transporter 1"
"SLC35B2","Q8TB61-3",-0.305,0.858,0.88,FALSE,FALSE,TRUE,3,"Adenosine 3-phospho 5-phosphosulfate transporter 1"
"SLC35E1","Q96K37",-0.229,0.758,0.792,FALSE,FALSE,TRUE,2,"Solute carrier family 35 member E1"
"SLC38A1","Q9H2H9",-0.369,0.441,0.496,FALSE,FALSE,TRUE,1,"Sodium-coupled neutral amino acid transporter 1"
"SLC38A5","Q8WUX1",-0.381,0.19,0.241,FALSE,FALSE,FALSE,0,"Sodium-coupled neutral amino acid transporter 5"
"SLC39A10","Q9ULF5",-0.58,0.00243,0.00858,FALSE,FALSE,FALSE,0,"Zinc transporter ZIP10"
"SLC3A2","P08195-3",-0.496,0.00375,0.0114,FALSE,FALSE,FALSE,0,"4F2 cell-surface antigen heavy chain"
"SLC44A1","Q8WWI5-3",0.0794,0.75,0.785,FALSE,FALSE,FALSE,0,"Choline transporter-like protein 1"
"SLC4A1AP","Q9BWU0",-0.727,0.013,0.0281,FALSE,FALSE,FALSE,0,"Kanadaptin"
"SLC4A7","E9PGC1",-0.312,0.273,0.329,FALSE,FALSE,FALSE,0,"Sodium bicarbonate cotransporter 3"
"SLC5A6","Q9Y289",-0.848,0.0166,0.0338,FALSE,FALSE,FALSE,0,"Sodium-dependent multivitamin transporter"
"SLC7A1","P30825",-1.13,0.167,0.216,FALSE,FALSE,TRUE,1,"High affinity cationic amino acid transporter 1"
"SLC7A2","P52569",-0.395,0.163,0.211,FALSE,FALSE,FALSE,0,"Low affinity cationic amino acid transporter 2"
"SLC7A5","Q01650",-0.503,0.0637,0.0967,FALSE,FALSE,FALSE,0,"Large neutral amino acids transporter small subunit 1"
"SLC9A3R1","O14745",0.0503,0.826,0.853,FALSE,FALSE,FALSE,0,"Na(+)/H(+) exchange regulatory cofactor NHE-RF1"
"SLC9A3R2","Q15599-2",-0.517,0.0237,0.0444,FALSE,FALSE,FALSE,0,"Na(+)/H(+) exchange regulatory cofactor NHE-RF2"
"SLFN5","Q08AF3",-0.7,0.00318,0.0102,FALSE,FALSE,FALSE,0,"Schlafen family member 5"
"SLK","Q9H2G2-2",-0.773,0.166,0.215,FALSE,FALSE,FALSE,0,"STE20-like serine/threonine-protein kinase"
"SLTM","Q9NWH9",0.0479,0.88,0.899,FALSE,FALSE,FALSE,0,"SAFB-like transcription modulator"
"slyB","P0A905",0.61,0.00148,0.00614,FALSE,FALSE,FALSE,0,"Outer membrane lipoprotein SlyB"
"SMAD2","Q15796-2",-0.794,0.00542,0.0149,FALSE,FALSE,FALSE,0,"Mothers against decapentaplegic homolog 2;Mothers against decapentaplegic homolog 3"
"SMAD4","Q13485",-0.604,0.124,0.168,FALSE,FALSE,FALSE,0,"Mothers against decapentaplegic homolog 4"
"SMARCA2","P51531-2",-0.684,0.0151,0.0314,FALSE,FALSE,FALSE,0,"Probable global transcription activator SNF2L2"
"SMARCA4","P51532-5",-0.449,0.00479,0.0137,FALSE,FALSE,FALSE,0,"Transcription activator BRG1"
"SMARCA5","F5GZI1",-0.326,0.0374,0.0631,FALSE,FALSE,FALSE,0,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5"
"SMARCAD1","Q9H4L7",0.335,0.32,0.376,FALSE,FALSE,FALSE,0,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1"
"SMARCAL1","Q9NZC9",-0.0982,0.681,0.723,FALSE,FALSE,TRUE,2,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1"
"SMARCB1","Q12824",-0.685,0.00219,0.008,FALSE,FALSE,FALSE,0,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1"
"SMARCC1","Q92922",-0.697,0.00287,0.00962,FALSE,FALSE,FALSE,0,"SWI/SNF complex subunit SMARCC1"
"SMARCC2","Q8TAQ2",-0.881,0.000275,0.00221,FALSE,FALSE,FALSE,0,"SWI/SNF complex subunit SMARCC2"
"SMARCD1","Q96GM5",-0.848,0.00395,0.0118,FALSE,FALSE,FALSE,0,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1"
"SMARCD2","Q92925-3",-0.338,0.0944,0.133,FALSE,FALSE,FALSE,0,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2"
"SMARCE1","C0IMW5",-0.419,0.0558,0.0867,FALSE,FALSE,FALSE,0,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1"
"SMC1A","Q14683",-0.612,0.00522,0.0145,FALSE,FALSE,FALSE,0,"Structural maintenance of chromosomes protein 1A"
"SMC2","O95347",-0.352,0.0219,0.0417,FALSE,FALSE,FALSE,0,"Structural maintenance of chromosomes protein 2"
"SMC3","Q9UQE7",-0.654,0.0025,0.00876,FALSE,FALSE,FALSE,0,"Structural maintenance of chromosomes protein 3"
"SMC4","E9PD53",-0.521,0.00449,0.013,FALSE,FALSE,FALSE,0,"Structural maintenance of chromosomes protein;Structural maintenance of chromosomes protein 4"
"SMC5","Q8IY18",-0.504,0.0743,0.11,FALSE,FALSE,FALSE,0,"Structural maintenance of chromosomes protein 5"
"SMC6","Q96SB8",-0.187,0.368,0.425,FALSE,FALSE,FALSE,0,"Structural maintenance of chromosomes protein 6"
"SMCHD1","A6NHR9-2",-0.47,0.00525,0.0146,FALSE,FALSE,FALSE,0,"Structural maintenance of chromosomes flexible hinge domain-containing protein 1"
"SMEK1","Q6IN85-4",0.272,0.549,0.599,FALSE,FALSE,TRUE,2,"Serine/threonine-protein phosphatase 4 regulatory subunit 3A"
"SMN1","Q16637-4",-0.569,0.0248,0.046,FALSE,FALSE,FALSE,0,"Survival motor neuron protein"
"SMNDC1","O75940",-0.178,0.545,0.595,FALSE,FALSE,FALSE,0,"Survival of motor neuron-related-splicing factor 30"
"smpB","C3UPD1",4.26,0.035,0.06,FALSE,FALSE,TRUE,2,"SsrA-binding protein"
"SMPD4","Q9NXE4-2",-0.221,0.499,0.552,FALSE,FALSE,FALSE,0,"Sphingomyelin phosphodiesterase 4"
"SMU1","Q2TAY7",-0.49,0.0386,0.0648,FALSE,FALSE,FALSE,0,"WD40 repeat-containing protein SMU1"
"SMYD2","Q9NRG4",-2.43,0.0365,0.062,FALSE,FALSE,TRUE,4,"N-lysine methyltransferase SMYD2"
"SMYD5","C9IYN9",-1.1,0.149,0.197,FALSE,FALSE,TRUE,3,"SET and MYND domain-containing protein 5"
"SNAP23","H3BNG6",0.118,0.916,0.93,FALSE,FALSE,TRUE,2,"Synaptosomal-associated protein;Synaptosomal-associated protein 23"
"SND1","Q7KZF4",-0.641,0.00117,0.00528,FALSE,FALSE,FALSE,0,"Staphylococcal nuclease domain-containing protein 1"
"SNIP1","E7EVG1",-0.443,0.101,0.141,FALSE,FALSE,FALSE,0,"Smad nuclear-interacting protein 1"
"SNRNP200","O75643",-0.521,0.00384,0.0116,FALSE,FALSE,FALSE,0,"U5 small nuclear ribonucleoprotein 200 kDa helicase"
"SNRNP27","Q8WVK2",-0.901,0.000297,0.00231,FALSE,FALSE,FALSE,0,"U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein"
"SNRNP40","Q96DI7",-0.453,0.0314,0.0551,FALSE,FALSE,FALSE,0,"U5 small nuclear ribonucleoprotein 40 kDa protein"
"SNRNP70","P08621",-0.501,0.00431,0.0126,FALSE,FALSE,FALSE,0,"U1 small nuclear ribonucleoprotein 70 kDa"
"SNRPA","P09012",-0.383,0.0432,0.0708,FALSE,FALSE,FALSE,0,"U1 small nuclear ribonucleoprotein A"
"SNRPA1","P09661",-0.445,0.00708,0.018,FALSE,FALSE,FALSE,0,"U2 small nuclear ribonucleoprotein A"
"SNRPB2","P08579",-0.721,0.000706,0.00386,FALSE,FALSE,FALSE,0,"U2 small nuclear ribonucleoprotein B"
"SNRPC","P09234",-0.6,0.0105,0.024,FALSE,FALSE,FALSE,0,"U1 small nuclear ribonucleoprotein C"
"SNRPD1","P62314",-0.39,0.127,0.171,FALSE,FALSE,FALSE,0,"Small nuclear ribonucleoprotein Sm D1"
"SNRPD2","P62316",-0.893,0.00216,0.00793,FALSE,FALSE,FALSE,0,"Small nuclear ribonucleoprotein Sm D2"
"SNRPD3","B4DJP7",-0.446,0.0594,0.0913,FALSE,FALSE,FALSE,0,"Small nuclear ribonucleoprotein Sm D3"
"SNRPE","P62304",-0.537,0.0228,0.0432,FALSE,FALSE,FALSE,0,"Small nuclear ribonucleoprotein E"
"SNRPF","P62306",-0.725,0.00998,0.0231,FALSE,FALSE,FALSE,0,"Small nuclear ribonucleoprotein F"
"SNRPG","P62308",-0.157,0.625,0.67,FALSE,FALSE,FALSE,0,"Small nuclear ribonucleoprotein G;Small nuclear ribonucleoprotein G-like protein"
"SNRPN","P14678-2",-0.413,0.138,0.183,FALSE,FALSE,FALSE,0,"Small nuclear ribonucleoprotein-associated protein N;Small nuclear ribonucleoprotein-associated proteins B and B;Small nuclear ribonucleoprotein-associated protein"
"SNTB2","Q13425",-0.31,0.0913,0.13,FALSE,FALSE,FALSE,0,"Beta-2-syntrophin"
"SNW1","Q13573",-0.473,0.0546,0.0853,FALSE,FALSE,FALSE,0,"SNW domain-containing protein 1"
"SNX1","Q13596-2",-0.648,0.011,0.0249,FALSE,FALSE,FALSE,0,"Sorting nexin-1"
"SNX2","O60749",-0.294,0.27,0.326,FALSE,FALSE,FALSE,0,"Sorting nexin-2"
"SNX27","Q96L92-3",0.243,0.596,0.644,FALSE,FALSE,TRUE,1,"Sorting nexin-27"
"SNX3","O60493",-0.774,0.00159,0.00641,FALSE,FALSE,FALSE,0,"Sorting nexin-3"
"SNX5","Q9Y5X3",-0.652,0.00139,0.0059,FALSE,FALSE,FALSE,0,"Sorting nexin-5"
"SNX6","C0H5W9",0.426,0.395,0.45,FALSE,FALSE,FALSE,0,"Sorting nexin-6"
"SNX9","B3KXH8",-1.2,0.185,0.236,FALSE,FALSE,TRUE,1,"Sorting nexin-9"
"SOAT1","P35610",-0.731,0.0102,0.0236,FALSE,FALSE,FALSE,0,"Sterol O-acyltransferase 1"
"SOD2","P04179",-0.465,0.0147,0.0309,FALSE,FALSE,FALSE,0,"Superoxide dismutase [Mn], mitochondrial;Superoxide dismutase"
"sodA","P00448",0.882,0.00176,0.0069,FALSE,FALSE,FALSE,0,"Superoxide dismutase [Mn]"
"sodB","P0AGD3",0.761,0.00054,0.0033,FALSE,FALSE,FALSE,0,"Superoxide dismutase [Fe]"
"sodC","P0AGD1",0.53,0.00397,0.0119,FALSE,FALSE,FALSE,0,"Superoxide dismutase [Cu-Zn]"
"SOGA2","Q9Y4B5",-0.577,0.0291,0.0519,FALSE,FALSE,FALSE,0,"Protein SOGA2"
"sohB","P0AG14",0.911,0.000306,0.00235,FALSE,FALSE,FALSE,0,"Probable protease sohB"
"SON","P18583-6",-1.32,0.0983,0.138,FALSE,FALSE,TRUE,1,"Protein SON"
"SORBS2","E9PAS5",-0.787,0.0058,0.0156,FALSE,FALSE,FALSE,0,"Sorbin and SH3 domain-containing protein 2"
"SORBS3","H0YAZ3",0.268,0.28,0.336,FALSE,FALSE,FALSE,0,"Vinexin"
"SORD","Q00796",-0.36,0.0575,0.0888,FALSE,FALSE,FALSE,0,"Sorbitol dehydrogenase"
"SP1","P08047",-0.972,0.0277,0.05,FALSE,FALSE,FALSE,0,"Transcription factor Sp1"
"SP100","P23497",-0.807,0.0015,0.00619,FALSE,FALSE,FALSE,0,"Nuclear autoantigen Sp-100"
"SP3","Q02447-5",-1.4,0.0681,0.102,FALSE,FALSE,FALSE,0,"Transcription factor Sp3"
"SPAG7","I3L0X5",-0.448,0.283,0.339,FALSE,FALSE,TRUE,3,"Sperm-associated antigen 7"
"SPAG9","O60271-4",-0.867,0.0018,0.00702,FALSE,FALSE,FALSE,0,"C-Jun-amino-terminal kinase-interacting protein 4"
"SPAST","Q9UBP0-4",-3.17,0.0347,0.0596,FALSE,FALSE,TRUE,4,"Spastin"
"SPATA5","Q8NB90",-0.206,0.191,0.243,FALSE,FALSE,FALSE,0,"Spermatogenesis-associated protein 5"
"SPATA5L1","Q9BVQ7",-0.43,0.0734,0.108,FALSE,FALSE,FALSE,0,"Spermatogenesis-associated protein 5-like protein 1"
"SPATS2","Q86XZ4",-0.0491,0.905,0.92,FALSE,FALSE,FALSE,0,"Spermatogenesis-associated serine-rich protein 2"
"SPATS2L","Q9NUQ6-2",-0.475,0.347,0.403,FALSE,FALSE,FALSE,0,"SPATS2-like protein"
"SPCS2","E9PL01",-0.231,0.592,0.641,FALSE,FALSE,FALSE,0,"Signal peptidase complex subunit 2"
"SPCS3","P61009",-2.11,0.0426,0.0699,FALSE,FALSE,TRUE,4,"Signal peptidase complex subunit 3"
"SPECC1","Q5M775-4",-0.567,0.0329,0.0571,FALSE,FALSE,FALSE,0,"Cytospin-B"
"SPECC1L","F5H1H6",-0.0662,0.912,0.926,FALSE,FALSE,TRUE,3,"Cytospin-A"
"speG","P0A951",1.1,0.115,0.157,FALSE,FALSE,FALSE,0,"Spermidine N(1)-acetyltransferase"
"SPEN","Q96T58",-0.606,0.0221,0.042,FALSE,FALSE,FALSE,0,"Msx2-interacting protein"
"SPG20","Q8N0X7",-1.29,0.0382,0.0643,FALSE,FALSE,TRUE,2,"Spartin"
"SPG21","Q9NZD8",0.139,0.824,0.851,FALSE,FALSE,FALSE,0,"Maspardin"
"SPIN3","Q5JUX0",-0.965,0.00174,0.00682,FALSE,FALSE,FALSE,0,"Spindlin-3;Spindlin-1"
"sppA","P08395",0.319,0.0428,0.0702,FALSE,FALSE,FALSE,0,"Protease 4"
"SPR","P35270",-0.816,0.000942,0.00462,FALSE,FALSE,FALSE,0,"Sepiapterin reductase"
"SPRYD4","Q8WW59",-0.231,0.518,0.569,FALSE,FALSE,FALSE,0,"SPRY domain-containing protein 4"
"SPTAN1","Q13813",-0.504,0.00441,0.0128,FALSE,FALSE,FALSE,0,"Spectrin alpha chain, non-erythrocytic 1"
"SPTBN1","Q01082",-0.594,0.00123,0.00548,FALSE,FALSE,FALSE,0,"Spectrin beta chain, non-erythrocytic 1"
"SPTBN2","O15020-2",-0.641,0.0111,0.0249,FALSE,FALSE,FALSE,0,"Spectrin beta chain, non-erythrocytic 2"
"SPTLC1","O15269",-0.664,0.0231,0.0435,FALSE,FALSE,FALSE,0,"Serine palmitoyltransferase 1"
"SPTLC2","O15270",-0.0309,0.858,0.88,FALSE,FALSE,FALSE,0,"Serine palmitoyltransferase 2"
"SPTY2D1","Q68D10-2",0.233,0.588,0.637,FALSE,FALSE,FALSE,0,"Protein SPT2 homolog"
"SQRDL","Q9Y6N5",0.116,0.341,0.397,FALSE,FALSE,FALSE,0,"Sulfide:quinone oxidoreductase, mitochondrial"
"SQSTM1","E7EMC7",-0.618,0.0331,0.0574,FALSE,FALSE,FALSE,0,"Sequestosome-1"
"sra","P68191",0.291,0.508,0.56,FALSE,FALSE,FALSE,0,"Stationary-phase-induced ribosome-associated protein"
